singer,date,song,streams,url_list,gender,language
"by MC 張天賦, Kaho Hung",3,3,3,3,G,Can
"by MC 張天賦, 藍仔頭",5,5,5,5,G,Can
by MEDUZA,10,10,10,10,M,Eng
by Madison Beer,2,2,2,2,F,Eng
by Mag Lam,43,43,43,43,F,Can
by Manson 張進翹,1,1,1,1,M,Can
by Mariah Carey,7,7,7,7,F,Eng
by Maroon 5,93,93,93,93,G,Eng
by Marshmello,49,49,49,49,M,Other
by Martin Garrix,1,1,1,1,M,Other
by Masked Wolf,27,27,27,27,M,Eng
by Mayday,28,28,28,28,G,Man
by Michael Bublé,7,7,7,7,M,Eng
by Mike 曾比特,77,77,77,77,M,Can
"by Mike 曾比特, JC 陳詠桐",26,26,26,26,G,Can
by Miley Cyrus,11,11,11,11,F,Eng
by Miriam Yeung,23,23,23,23,F,Can
by Mirror,169,169,169,169,G,Can
by Mr.,29,29,29,29,G,Can
by Måneskin,23,23,23,23,G,Eng
by NCT 127,2,2,2,2,G,Other
by NCT DREAM,1,1,1,1,G,Other
by NEIKED,5,5,5,5,M,Other
"by Namewee, Kimberley Chen",12,12,12,12,G,Man
"by Namewee, 小花",1,1,1,1,F,Can
by Nat King Cole,1,1,1,1,M,Eng
by OH MY GIRL,3,3,3,3,G,Other
by ONE OK ROCK,1,1,1,1,G,Other
"by ONE PROMISE, Jer 柳應廷",35,35,35,35,G,Can
by Oliver Tree,4,4,4,4,M,Eng
by Olivia Rodrigo,167,167,167,167,F,Eng
by OneRepublic,11,11,11,11,G,Eng
by Pakho Chau,13,13,13,13,M,Can
by Panther Chan,64,64,64,64,F,Can
by Paul McCartney,2,2,2,2,M,Eng
"by Perry Como, The Fontane Sisters",1,1,1,1,G,Eng
by Phil Lam,33,33,33,33,M,Can
by Pink Sweat$,50,50,50,50,M,Eng
by Polo G,13,13,13,13,M,Eng
by Pop Smoke,7,7,7,7,M,Eng
by Post Malone,46,46,46,46,M,Eng
by ROSÉ,55,55,55,55,F,Other
by Rauw Alejandro,8,8,8,8,M,Eng
by Raymond Lam,8,8,8,8,M,Can
by Red Velvet,9,9,9,9,G,Other
"by Regard, Troye Sivan, Tate McRae",9,9,9,9,G,Eng
"by Regen C., Endy Chow",4,4,4,4,G,Can
by Ren Ran,53,53,53,53,F,Man
"by Riton, Nightcrawlers",8,8,8,8,G,Eng
by Ritt Momney,3,3,3,3,M,Eng
by Ronald Cheng,105,105,105,105,M,Can
"by Ronghao Li, A-Mei Chang",1,1,1,1,G,Man
by RubberBand,116,116,116,116,G,Can
by SEVENTEEN,6,6,6,6,G,Other
by SHINee,3,3,3,3,G,Other
by SOPHY,1,1,1,1,F,Can
by STAYC,3,3,3,3,G,Other
by SUNMI,5,5,5,5,F,Other
by SUPER JUNIOR,1,1,1,1,G,Other
by SZA,18,18,18,18,F,Eng
by Sabrina Carpenter,5,5,5,5,F,Eng
"by Sam Fischer, Demi Lovato",4,4,4,4,G,Eng
by Sam Kim,8,8,8,8,M,Other
by Sam Smith,1,1,1,1,M,Eng
by Sammi Cheng,55,55,55,55,F,Can
by Saweetie,17,17,17,17,F,Eng
by Selena Gomez,7,7,7,7,F,Eng
by Serrini,126,126,126,126,F,Can
"by Serrini, Jason Chan",20,20,20,20,G,Can
by Shakin' Stevens,1,1,1,1,M,Eng
by Shawn Mendes,34,34,34,34,M,Eng
"by Shawn Mendes, Camila Cabello",53,53,53,53,G,Eng
by Shiga Lin,39,39,39,39,F,Can
by Sia,3,3,3,3,F,Eng
by Skrillex,4,4,4,4,M,Other
by Skylar Grey,6,6,6,6,F,Eng
by Stephanie Cheng,55,55,55,55,F,Can
by Stephanie Ho,1,1,1,1,F,Can
by Stray Kids,1,1,1,1,G,Other
"by Sub Urban, Bella Poarch",2,2,2,2,G,Eng
by Supper Moment,16,16,16,16,G,Can
by Swedish House Mafia,6,6,6,6,G,Eng
by TAEMIN,1,1,1,1,M,Other
by TAEYEON,6,6,6,6,M,Other
"by THE ANXIETY, WILLOW, Tyler Cole",1,1,1,1,G,Eng
by TOMORROW X TOGETHER,2,2,2,2,G,Other
"by TOMORROW X TOGETHER, Seori",3,3,3,3,G,Other
by TWICE,44,44,44,44,G,Other
by Tang Siu Hau,1,1,1,1,F,Can
by Tate McRae,18,18,18,18,F,Eng
"by Tate McRae, Khalid",4,4,4,4,G,Eng
by Taylor Swift,66,66,66,66,F,Eng
by Terence Lam,386,386,386,386,M,Can
by Terence Siufay,60,60,60,60,M,Can
"by Terence Siufay, Serrini",35,35,35,35,G,Can
"by The Chainsmokers, Coldplay",53,53,53,53,G,Eng
"by The Chainsmokers, Halsey",39,39,39,39,G,Eng
by The Jackson 5,1,1,1,1,G,Eng
by The Kid LAROI,49,49,49,49,M,Eng
by The Ronettes,3,3,3,3,G,Eng
by The Weeknd,124,124,124,124,M,Eng
"by Tion Wayne, Russ Millions",1,1,1,1,G,Eng
by Tiësto,15,15,15,15,M,Eng
by ToNick,57,57,57,57,G,Can
by Tones And I,17,17,17,17,F,Eng
by Travis Scott,2,2,2,2,M,Eng
"by Travis Scott, HVME",19,19,19,19,G,Eng
by Trippie Redd,1,1,1,1,M,Eng
by Troye Sivan,4,4,4,4,M,Eng
by Twins,1,1,1,1,G,Can
"by Tyler, The Creator",2,2,2,2,M,Eng
by Tyson Yoshi,25,25,25,25,M,Can
"by Tyson Yoshi, Gareth.T",2,2,2,2,G,Can
"by Tyson Yoshi, MADBOII",12,12,12,12,G,Can
by V,2,2,2,2,M,Other
by Vincy Chan,18,18,18,18,F,Can
"by Vincy Chan, per se",10,10,10,10,G,Can
by Vivian Koo,3,3,3,3,F,Man
by WENDY,1,1,1,1,F,Other
by WeiBird,5,5,5,5,M,Man
by Wham!,5,5,5,5,G,Eng
by Whee In,1,1,1,1,F,Other
by Wilfred Lau,15,15,15,15,M,Can
by YOASOBI,290,290,290,290,G,Other
by Yan Ting,34,34,34,34,M,Can
by Yellow!,1,1,1,1,G,Can
by Yoyo Sham,42,42,42,42,F,Can
by ZAYN,5,5,5,5,M,Eng
by Zpecial,58,58,58,58,G,Can
"by Zpecial, 張蔓姿",1,1,1,1,G,Can
by aespa,46,46,46,46,G,Other
by bbno$,1,1,1,1,M,Eng
by benny blanco,3,3,3,3,M,Eng
by iKON,1,1,1,1,G,Other
by kayan9896,2,2,2,2,F,Can
by keshi,1,1,1,1,M,Eng
"by milet, Aimer, Lilas Ikuta",2,2,2,2,G,Other
by my little airport,37,37,37,37,G,Can
by per se,19,19,19,19,G,Can
by 余香凝,1,1,1,1,F,Can
by 吳林峰,2,2,2,2,M,Can
by 大籽,2,2,2,2,F,Man
by 张远,7,7,7,7,M,Man
by 張蔓姿,4,4,4,4,F,Can
by 戴祖儀,1,1,1,1,F,Can
by 李靖筠,1,1,1,1,F,Can
by 石山街,2,2,2,2,G,Can
by 胡學軒,1,1,1,1,M,Can
by 葉巧琳,6,6,6,6,F,Can
by 陳健安,31,31,31,31,M,Can
by 陳卓賢 Ian,250,250,250,250,M,Can
